1.  Helsinki;643272;635181
2.  Espoo;279044;274583
3.  Tampere;231853;228274
4.  Vantaa;223027;219341
5.  Oulu;201810;200526
6.  Turku;189669;187604
7.  Jyväskylä;140188;138850
8.  Lahti;119573;119452
9.  Kuopio;118209;117740
10.  Pori;84587;85059
11.  Kouvola;84196;85306
12.  Joensuu;76067;75848
13.  Lappeenranta;72909;72872
14.  Hämeenlinna;67662;67850
15.  Vaasa;67392;67620
16.  Seinäjoki;62676;62052
17.  Rovaniemi;62420;62231
18.  Mikkeli;54261;54517
19.  Kotka;53539;54187
20.  Salo;52984;53546
21.  Porvoo;50159;50144
22.  Kokkola;47723;47723
23.  Lohja;46785;47149
24.  Hyvinkää;46739;46596
25.  Järvenpää;42572;41529
26.  Nurmijärvi;42159;42010
27.  Rauma;39620;39614
28.  Kirkkonummi;39170;39033
29.  Tuusula;38646;38588
30.  Kajaani;37239;37521
31.  Kerava;35554;35511
32.  Savonlinna;34664;35242
33.  Nokia;33322;33210
34.  Kaarina;33099;32738
35.  Ylöjärvi;32878;32799
36.  Kangasala;31437;31190
37.  Vihti;29054;28967
38.  Riihimäki;29021;29160
39.  Raasepori;27851;28077
40.  Imatra;27269;27517
41.  Raahe;25001;25010
42.  Sastamala;24820;25062
43.  Raisio;24234;24283
44.  Hollola;23782;23791
45.  Lempäälä;22829;22745
46.  Tornio;21928;22117
47.  Siilinjärvi;21657;21768
48.  Iisalmi;21639;21767
49.  Kemi;21256;21602
50.  Kurikka;21203;21501
51.  Varkaus;21155;21468
52.  Valkeakoski;21136;21346
53.  Jämsä;20877;21259
54.  Mäntsälä;20803;20853
55.  Hamina;20493;20636
56.  Sipoo;20310;19922
57.  Lieto;19596;19418
58.  Korsholm;19384;19380
59.  Jakobstad;19379;19377
60.  Pirkkala;19237;19163
61.  Naantali;19167;19068
62.  Äänekoski;19144;19374
63.  Heinola;19128;19350
64.  Laukaa;18978;18970
65.  Pieksämäki;18220;18475
66.  Kempele;17535;17297
67.  Forssa;17185;17332
68.  Akaa;16769;16923
69.  Janakkala;16607;16709
70.  Kauhava;16278;16599
71.  Orimattila;16221;16279
72.  Loimaa;16150;16267
73.  Uusikaupunki;15752;15404
74.  Kuusamo;15386;15533
75.  Pargas;15285;15398
76.  Ylivieska;15251;15199
77.  Loviisa;15085;15208
78.  Kontiolahti;14830;14806
79.  Lapua;14494;14575
80.  Kauhajoki;13610;13772
81.  Ulvila;13237;13312
82.  Kalajoki;12516;12586
83.  Ilmajoki;12205;12167
84.  Liperi;12150;12301
85.  Eura;11910;12004
86.  Alavus;11713;11907
87.  Mariehamn;11677;11565
88.  Kankaanpää;11585;11637
89.  Lieksa;11297;11580
90.  Pedersöre;11084;11067
91.  Nivala;10815;10889
92.  Paimio;10730;10713
93.  Hämeenkyrö;10599;10681
94.  Kitee;10486;10719
95.  Sotkamo;10423;10471
96.  Mänttä-Vilppula;10256;10448
97.  Huittinen;10207;10403
98.  Liminka;10133;10000
99.  Muurame;10097;9941
100.  Ii;9966;9628
101.  Keuruu;9919;9992
102.  Alajärvi;9831;9899
103.  Leppävirta;9782;9865
104.  Lapinlahti;9692;9882
105.  Masku;9656;9675
106.  Kauniainen;9624;9397
107.  Hattula;9610;9682
108.  Saarijärvi;9589;9690
109.  Eurajoki;9521;9418
110.  Närpes;9507;9439
111.  Orivesi;9285;9312
112.  Muhos;9019;8995
113.  Somero;8919;9027
114.  Karkkila;8900;8911
115.  Laitila;8610;8520
116.  Sodankylä;8545;8653
117.  Hanko;8517;8663
118.  Hausjärvi;8504;8641
119.  Kuhmo;8499;8647
120.  Pöytyä;8422;8503
121.  Keminmaa;8296;8316
122.  Kiuruvesi;8283;8444
123.  Asikkala;8248;8323
124.  Pudasjärvi;8103;8187
125.  Suomussalmi;8051;8187
126.  Laihia;8051;8139
127.  Loppi;8028;8098
128.  Mynämäki;7838;7842
129.  Nurmes;7765;7885
130.  Kemijärvi;7534;7661
131.  Nykarleby;7521;7516
132.  Oulainen;7472;7514
133.  Kokemäki;7381;7498
134.  Suonenjoki;7266;7312
135.  Haapajärvi;7251;7332
136.  Harjavalta;7151;7240
137.  Ikaalinen;7119;7128
138.  Outokumpu;7003;7091
139.  Haapavesi;6970;7098
140.  Säkylä;6903;6988
141.  Inari;6869;6825
142.  Virrat;6844;6917
143.  Iitti;6820;6889
144.  Kimitoön;6793;6872
145.  Tyrnävä;6730;6750
146.  Kristinestad;6638;6727
147.  Vöyri;6616;6684
148.  Pälkäne;6567;6627
149.  Parkano;6562;6692
150.  Kronoby;6531;6620
151.  Kittilä;6421;6383
152.  Viitasaari;6411;6607
153.  Juva;6334;6421
154.  Rusko;6263;6137
155.  Tammela;6155;6241
156.  Siuntio;6146;6178
157.  Mäntyharju;6054;6097
158.  Ähtäri;5906;5985
159.  Kangasniemi;5549;5603
160.  Nakkila;5521;5548
161.  Kannus;5520;5578
162.  Ingå;5481;5585
163.  Malax;5477;5517
164.  Siikalatva;5447;5583
165.  Siikajoki;5343;5366
166.  Pyhäjärvi;5337;5446
167.  Jokioinen;5286;5341
168.  Teuva;5269;5363
169.  Pyhtää;5264;5340
170.  Larsmo;5264;5176
171.  Ruokolahti;5218;5245
172.  Ilomantsi;5128;5237
173.  Pornainen;5121;5108
174.  Sievi;5035;5069
175.  Hankasalmi;5019;5159
176.  Askola;4990;5046
177.  Parikkala;4969;5126
178.  Joroinen;4917;5039
179.  Jomala;4859;4757
180.  Urjala;4829;4858
181.  Juuka;4817;4938
182.  Nousiainen;4813;4815
183.  Taipalsaari;4774;4832
184.  Luumäki;4747;4831
185.  Isokyrö;4673;4712
186.  Pielavesi;4624;4697
187.  Tohmajärvi;4571;4653
188.  Joutsa;4567;4673
189.  Kärkölä;4508;4540
190.  Vesilahti;4460;4462
191.  Ruovesi;4459;4565
192.  Polvijärvi;4414;4514
193.  Kaustinen;4309;4298
194.  Karstula;4146;4232
195.  Pihtipudas;4127;4202
196.  Ylitornio;4118;4200
197.  Sonkajärvi;4075;4199
198.  Taivalkoski;4058;4133
199.  Aura;3991;3984
200.  Ranua;3972;4023
201.  Petäjävesi;3920;3981
202.  Sysmä;3859;3953
203.  Kolari;3854;3827
204.  Uurainen;3747;3717
205.  Vieremä;3685;3721
206.  Kuortane;3637;3690
207.  Salla;3575;3653
208.  Rantasalmi;3553;3649
209.  Pello;3510;3565
210.  Savitaipale;3480;3534
211.  Heinävesi;3455;3514
212.  Rautjärvi;3436;3473
213.  Paltamo;3435;3491
214.  Posio;3310;3424
215.  Rautalampi;3255;3288
216.  Veteli;3216;3259
217.  Virolahti;3207;3267
218.  Toholampi;3192;3232
219.  Pyhäjoki;3189;3188
220.  Merikarvia;3156;3169
221.  Lappajärvi;3140;3176
222.  Simo;3110;3170
223.  Tervola;3068;3099
224.  Lemi;3063;3076
225.  Kaavi;3048;3154
226.  Padasjoki;3027;3073
227.  Sauvo;3007;3047
228.  Vimpeli;2974;3025
229.  Punkalaidun;2949;3003
230.  Vaala;2941;3040
231.  Hartola;2882;2924
232.  Perho;2860;2907
233.  Reisjärvi;2813;2854
234.  Utajärvi;2768;2824
235.  Konnevesi;2748;2753
236.  Lapinjärvi;2706;2739
237.  Puolanka;2669;2735
238.  Kärsämäki;2611;2655
239.  Alavieska;2610;2639
240.  Tuusniemi;2597;2643
241.  Sulkava;2588;2661
242.  Finström;2580;2594
243.  Evijärvi;2499;2535
244.  Karvia;2403;2449
245.  Toivakka;2384;2432
246.  Ypäjä;2372;2382
247.  Koski Tl;2359;2416
248.  Muonio;2332;2350
249.  Hyrynsalmi;2326;2406
250.  Vehmaa;2316;2277
251.  Keitele;2309;2346
252.  Humppila;2290;2345
253.  Kuhmoinen;2252;2286
254.  Rääkkylä;2240;2268
255.  Hirvensalmi;2236;2274
256.  Valtimo;2218;2245
257.  Puumala;2208;2234
258.  Pomarkku;2166;2233
259.  Korsnäs;2154;2171
260.  Soini;2114;2186
261.  Vesanto;2094;2148
262.  Lumijoki;2081;2105
263.  Pyhäranta;2077;2075
264.  Isojoki;2032;2079
265.  Lemland;2028;2012
266.  Miehikkälä;1992;2034
267.  Marttila;1988;2021
268.  Myrskylä;1969;1986
269.  Kihniö;1967;1994
270.  Pukkila;1940;1988
271.  Juupajoki;1904;1957
272.  Enontekiö;1893;1872
273.  Saltvik;1873;1839
274.  Jämijärvi;1867;1915
275.  Pertunmaa;1739;1796
276.  Honkajoki;1707;1759
277.  Rautavaara;1698;1723
278.  Kinnula;1656;1699
279.  Taivassalo;1654;1622
280.  Multia;1636;1663
281.  Tervo;1585;1611
282.  Pyhäntä;1579;1579
283.  Hammarland;1547;1508
284.  Siikainen;1476;1494
285.  Enonkoski;1416;1453
286.  Kannonkoski;1408;1424
287.  Oripää;1382;1363
288.  Kyyjärvi;1352;1375
289.  Karijoki;1329;1349
290.  Ristijärvi;1317;1345
291.  Kaskinen;1274;1296
292.  Utsjoki;1242;1241
293.  Halsua;1171;1219
294.  Kivijärvi;1132;1161
295.  Merijärvi;1119;1131
296.  Sund;1031;1006
297.  Savukoski;1012;1044
298.  Hailuoto;967;994
299.  Pelkosenniemi;958;951
300.  Eckerö;948;928
301.  Kustavi;923;908
302.  Lestijärvi;789;811
303.  Luhanka;734;756
304.  Föglö;532;561
305.  Geta;495;499
306.  Brändö;452;471
307.  Vårdö;430;439
308.  Lumparland;395;385
309.  Kumlinge;314;308
310.  Kökar;236;246
311.  Sottunga;92;96
